concept,ex0,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9
sport organizations,NFL,World Cup,NBA,MLB,FIFA,NHL,league,olympics,NCAA,Asian Cup
corporations,CEO,stock,shareholders,company,Google,Apple,business,Microsoft,brands,employees
elections,voting,ballot,loser,runner-up,president,poll,candidates,incumbent,voter turnout,campaign
musical works,artistic,classical,Claire de Lune,The Four Seasons,Nocturn in E-flat Major,Canon in D,Rhapsody in Blue,Beethoven,Bach,Mozart
films,The Godfather,Pulp Fiction,Interstellar,Inception,The Matrix,Titanic,The Avengers,La La Land,Forrest Gump,Avatar
climate,humidity,temperature,atmosphere,climate change,global warming,weather,emissions,sustainability,atmosphere,crisis
computer hardware,CPU,RAM,GPU,FPGA,assembly,motherboard,hard drive,power supply,mouse,monitor
physics,particles,space,time,mathematics,quantum,energy,motion,forces,relativity,waves
religions and beliefs,faith,Christianity,Islam,Buddhism,Hinduism,Judaism,atheism,worship,pray,divine
law and justice,guilty,innocent,no contest,plead,plaintiff,prosecutor,defendant,lawyer,cases,court
transport,bus,car,plane,boat,Uber,taxi,bike,subway,metro,commute
education,school,college,university,professors,students,knowledge,learning,curriculum,classes,exams
politics,government,democracy,elections,campaign,lobbying,speech,parties,policy,diplomacy,power
works of fiction,Star Wars,Crime and Punishment,1984,The Great Gatsby,The Catcher in the Rye,Game of Thrones,Breaking Bad,Pride and Prejudice,The Grapes of Wrath,Moby Dick
games and leisure activities,card games,television,video games,biking,swimming,reading,gardening,photography,cooking,yoga
biology,cells,genome,evolution,organisms,ecology,enzymes,proteins,DNA,RNA,health
mathematics,algebra,geometry,theory,probability,statistics,proofs,rigorous,logic,numbers,graphs
geology,rocks,minerals,earth,crust,fossils,earthquake,volcano,erosion,deposits,weathering
government and state,government,democracy,elections,legislation,constitution,citizen,sovereign,public welfare,taxation,bureaucracy
food and eating,flavor,taste,nutrients,hunger,smell,appetite,gourmet,diet,meal,restaraunt
air transport,airplane,pilot,takeoff,landing,altitude,turbulence,baggage,airport,wings,cockpit
road transport,lanes,highway,cars,traffic,speeding,accidents,parking,tunnels,traffic lights,intersections
rail transport,Amtrak,train,railway,conductor,tickets,locomotive,freight,stations,bullet train,train tracks
cycling,Tour de France,helmet,spokes,bicycle,pedals ,handlebars,triathlon,gears,wheel,bike chain
the New York Times,news,editorial,journalism,reporting,articles,headlines,media,columns,reputable,opinion
